trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:52:29.140,474880,trigger_0001_20260506_015229_207421.wav
2,2026-05-06T01:52:30.691,623616,trigger_0002_20260506_015230_751941.wav
3,2026-05-06T01:52:32.172,765952,trigger_0003_20260506_015232_238629.wav
4,2026-05-06T01:52:33.786,920832,trigger_0004_20260506_015233_852909.wav
5,2026-05-06T01:52:35.470,1082368,trigger_0005_20260506_015235_531610.wav
6,2026-05-06T01:52:37.144,1243136,trigger_0006_20260506_015237_205666.wav
7,2026-05-06T01:52:38.792,1401344,trigger_0007_20260506_015238_855629.wav
8,2026-05-06T01:52:40.523,1567488,trigger_0008_20260506_015240_585504.wav
9,2026-05-06T01:52:42.172,1725952,trigger_0009_20260506_015242_239599.wav
10,2026-05-06T01:52:43.815,1883648,trigger_0010_20260506_015243_881642.wav
11,2026-05-06T01:52:45.385,2034176,trigger_0011_20260506_015245_446458.wav
