trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:41:28.236,256000,trigger_0001_20260506_014128_302500.wav
2,2026-05-06T01:41:30.575,480512,trigger_0002_20260506_014130_636579.wav
3,2026-05-06T01:41:32.555,670464,trigger_0003_20260506_014132_616873.wav
4,2026-05-06T01:41:34.627,869632,trigger_0004_20260506_014134_690737.wav
5,2026-05-06T01:41:36.610,1059840,trigger_0005_20260506_014136_673546.wav
6,2026-05-06T01:41:38.642,1254912,trigger_0006_20260506_014138_703328.wav
7,2026-05-06T01:41:40.620,1444864,trigger_0007_20260506_014140_684129.wav
8,2026-05-06T01:41:42.823,1656320,trigger_0008_20260506_014142_885427.wav
9,2026-05-06T01:41:45.119,1876736,trigger_0009_20260506_014145_182411.wav
10,2026-05-06T01:41:47.268,2083072,trigger_0010_20260506_014147_333028.wav
11,2026-05-06T01:41:49.409,2288640,trigger_0011_20260506_014149_474765.wav
12,2026-05-06T01:41:51.651,2503936,trigger_0012_20260506_014151_718184.wav
13,2026-05-06T01:41:53.941,2723584,trigger_0013_20260506_014154_005355.wav
14,2026-05-06T01:41:56.234,2943744,trigger_0014_20260506_014156_297686.wav
15,2026-05-06T01:41:58.448,3156224,trigger_0015_20260506_014158_507610.wav
16,2026-05-06T01:42:00.829,3384832,trigger_0016_20260506_014200_890885.wav
17,2026-05-06T01:42:03.088,3601664,trigger_0017_20260506_014203_149175.wav
18,2026-05-06T01:42:05.399,3823616,trigger_0018_20260506_014205_460275.wav
19,2026-05-06T01:42:07.760,4050432,trigger_0019_20260506_014207_825948.wav
20,2026-05-06T01:42:10.051,4270336,trigger_0020_20260506_014210_115923.wav
21,2026-05-06T01:42:12.575,4512512,trigger_0021_20260506_014212_636235.wav
22,2026-05-06T01:42:15.041,4749312,trigger_0022_20260506_014215_101975.wav
23,2026-05-06T01:42:17.398,4975616,trigger_0023_20260506_014217_458624.wav
24,2026-05-06T01:42:19.680,5194752,trigger_0024_20260506_014219_745748.wav
25,2026-05-06T01:42:22.041,5421312,trigger_0025_20260506_014222_101559.wav
26,2026-05-06T01:42:24.239,5632256,trigger_0026_20260506_014224_299674.wav
27,2026-05-06T01:42:26.711,5869568,trigger_0027_20260506_014226_772894.wav
28,2026-05-06T01:42:29.074,6096384,trigger_0028_20260506_014229_136332.wav
29,2026-05-06T01:42:31.558,6334976,trigger_0029_20260506_014231_618811.wav
30,2026-05-06T01:42:33.748,6545152,trigger_0030_20260506_014233_808204.wav
