trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:45:46.498,413440,trigger_0001_20260506_014546_559136.wav
2,2026-05-06T01:45:47.868,545024,trigger_0002_20260506_014547_929900.wav
3,2026-05-06T01:45:49.209,673792,trigger_0003_20260506_014549_275605.wav
4,2026-05-06T01:45:50.512,798720,trigger_0004_20260506_014550_572249.wav
5,2026-05-06T01:45:51.926,934656,trigger_0005_20260506_014551_990522.wav
6,2026-05-06T01:45:53.336,1070080,trigger_0006_20260506_014553_403540.wav
7,2026-05-06T01:45:54.829,1213184,trigger_0007_20260506_014554_892133.wav
8,2026-05-06T01:45:56.299,1354240,trigger_0008_20260506_014556_359655.wav
9,2026-05-06T01:45:57.738,1492480,trigger_0009_20260506_014557_798852.wav
10,2026-05-06T01:45:59.337,1646080,trigger_0010_20260506_014559_402979.wav
11,2026-05-06T01:46:00.978,1803520,trigger_0011_20260506_014601_043605.wav
12,2026-05-06T01:46:02.665,1965568,trigger_0012_20260506_014602_726431.wav
13,2026-05-06T01:46:04.226,2115328,trigger_0013_20260506_014604_287799.wav
14,2026-05-06T01:46:05.829,2269184,trigger_0014_20260506_014605_889522.wav
15,2026-05-06T01:46:07.405,2420480,trigger_0015_20260506_014607_466180.wav
16,2026-05-06T01:46:09.101,2583552,trigger_0016_20260506_014609_167680.wav
17,2026-05-06T01:46:10.697,2736640,trigger_0017_20260506_014610_758839.wav
18,2026-05-06T01:46:12.349,2895104,trigger_0018_20260506_014612_409916.wav
19,2026-05-06T01:46:14.009,3054592,trigger_0019_20260506_014614_073540.wav
20,2026-05-06T01:46:15.655,3212544,trigger_0020_20260506_014615_715202.wav
21,2026-05-06T01:46:17.233,3364096,trigger_0021_20260506_014617_298439.wav
22,2026-05-06T01:46:18.787,3513344,trigger_0022_20260506_014618_851866.wav
23,2026-05-06T01:46:20.344,3662848,trigger_0023_20260506_014620_405620.wav
24,2026-05-06T01:46:21.927,3814912,trigger_0024_20260506_014621_994513.wav
25,2026-05-06T01:46:23.529,3968512,trigger_0025_20260506_014623_594329.wav
26,2026-05-06T01:46:25.061,4115712,trigger_0026_20260506_014625_123946.wav
27,2026-05-06T01:46:26.680,4271104,trigger_0027_20260506_014626_746947.wav
28,2026-05-06T01:46:28.245,4421376,trigger_0028_20260506_014628_311523.wav
29,2026-05-06T01:46:29.845,4574976,trigger_0029_20260506_014629_907291.wav
30,2026-05-06T01:46:31.394,4723712,trigger_0030_20260506_014631_459189.wav
