trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:47:04.785,472320,trigger_0001_20260506_014704_851420.wav
2,2026-05-06T01:47:06.518,638464,trigger_0002_20260506_014706_583308.wav
3,2026-05-06T01:47:08.164,796416,trigger_0003_20260506_014708_225743.wav
4,2026-05-06T01:47:09.605,934912,trigger_0004_20260506_014709_666385.wav
5,2026-05-06T01:47:11.119,1080320,trigger_0005_20260506_014711_180648.wav
6,2026-05-06T01:47:12.712,1233152,trigger_0006_20260506_014712_772979.wav
7,2026-05-06T01:47:14.217,1377536,trigger_0007_20260506_014714_277506.wav
8,2026-05-06T01:47:15.734,1523200,trigger_0008_20260506_014715_795629.wav
9,2026-05-06T01:47:17.317,1675264,trigger_0009_20260506_014717_379757.wav
10,2026-05-06T01:47:18.835,1821184,trigger_0010_20260506_014718_903588.wav
11,2026-05-06T01:47:20.440,1975040,trigger_0011_20260506_014720_501407.wav
12,2026-05-06T01:47:21.987,2123776,trigger_0012_20260506_014722_054137.wav
13,2026-05-06T01:47:23.606,2279168,trigger_0013_20260506_014723_672659.wav
14,2026-05-06T01:47:25.172,2429440,trigger_0014_20260506_014725_234088.wav
15,2026-05-06T01:47:26.778,2583552,trigger_0015_20260506_014726_839432.wav
16,2026-05-06T01:47:28.370,2736384,trigger_0016_20260506_014728_431607.wav
17,2026-05-06T01:47:30.006,2893568,trigger_0017_20260506_014730_072489.wav
18,2026-05-06T01:47:31.582,3044864,trigger_0018_20260506_014731_648014.wav
19,2026-05-06T01:47:33.208,3200768,trigger_0019_20260506_014733_269659.wav
20,2026-05-06T01:47:34.875,3361024,trigger_0020_20260506_014734_942208.wav
21,2026-05-06T01:47:36.463,3513344,trigger_0021_20260506_014736_529457.wav
22,2026-05-06T01:47:37.951,3656192,trigger_0022_20260506_014738_011720.wav
23,2026-05-06T01:47:39.474,3802368,trigger_0023_20260506_014739_535396.wav
24,2026-05-06T01:47:41.025,3951360,trigger_0024_20260506_014741_091959.wav
25,2026-05-06T01:47:42.593,4101888,trigger_0025_20260506_014742_659207.wav
26,2026-05-06T01:47:44.203,4256512,trigger_0026_20260506_014744_268952.wav
27,2026-05-06T01:47:45.834,4412928,trigger_0027_20260506_014745_895021.wav
28,2026-05-06T01:47:47.423,4565504,trigger_0028_20260506_014747_484174.wav
29,2026-05-06T01:47:48.935,4710656,trigger_0029_20260506_014748_997002.wav
30,2026-05-06T01:47:50.423,4853504,trigger_0030_20260506_014750_488135.wav
