trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:49:47.534,380672,trigger_0001_20260506_014947_600464.wav
2,2026-05-06T01:49:48.963,517888,trigger_0002_20260506_014949_030352.wav
3,2026-05-06T01:49:50.297,645888,trigger_0003_20260506_014950_362678.wav
4,2026-05-06T01:49:51.620,772864,trigger_0004_20260506_014951_681388.wav
5,2026-05-06T01:49:52.999,905216,trigger_0005_20260506_014953_061048.wav
6,2026-05-06T01:49:54.327,1032704,trigger_0006_20260506_014954_388135.wav
7,2026-05-06T01:49:55.681,1162752,trigger_0007_20260506_014955_741865.wav
8,2026-05-06T01:49:57.129,1301760,trigger_0008_20260506_014957_190061.wav
9,2026-05-06T01:49:58.575,1440512,trigger_0009_20260506_014958_638834.wav
10,2026-05-06T01:50:00.063,1583360,trigger_0010_20260506_015000_123849.wav
11,2026-05-06T01:50:01.521,1723392,trigger_0011_20260506_015001_584681.wav
12,2026-05-06T01:50:03.143,1879040,trigger_0012_20260506_015003_204657.wav
13,2026-05-06T01:50:04.770,2035456,trigger_0013_20260506_015004_837541.wav
14,2026-05-06T01:50:06.340,2185984,trigger_0014_20260506_015006_401044.wav
15,2026-05-06T01:50:07.907,2336512,trigger_0015_20260506_015007_972090.wav
16,2026-05-06T01:50:09.506,2490112,trigger_0016_20260506_015009_572237.wav
17,2026-05-06T01:50:11.054,2638592,trigger_0017_20260506_015011_115644.wav
18,2026-05-06T01:50:12.587,2785792,trigger_0018_20260506_015012_653223.wav
19,2026-05-06T01:50:14.176,2938368,trigger_0019_20260506_015014_241847.wav
20,2026-05-06T01:50:15.753,3089664,trigger_0020_20260506_015015_813573.wav
21,2026-05-06T01:50:17.349,3243008,trigger_0021_20260506_015017_410679.wav
22,2026-05-06T01:50:18.962,3397888,trigger_0022_20260506_015019_025575.wav
23,2026-05-06T01:50:20.577,3552768,trigger_0023_20260506_015020_642247.wav
24,2026-05-06T01:50:22.236,3712000,trigger_0024_20260506_015022_296997.wav
25,2026-05-06T01:50:23.973,3878912,trigger_0025_20260506_015024_034122.wav
26,2026-05-06T01:50:25.707,4045312,trigger_0026_20260506_015025_768420.wav
27,2026-05-06T01:50:27.429,4210688,trigger_0027_20260506_015027_492774.wav
28,2026-05-06T01:50:29.169,4377856,trigger_0028_20260506_015029_236147.wav
29,2026-05-06T01:50:30.877,4541696,trigger_0029_20260506_015030_939387.wav
30,2026-05-06T01:50:32.481,4695808,trigger_0030_20260506_015032_549741.wav
