trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-06T01:48:33.803,390400,trigger_0001_20260506_014833_866362.wav
2,2026-05-06T01:48:35.595,562432,trigger_0002_20260506_014835_657909.wav
3,2026-05-06T01:48:37.068,704000,trigger_0003_20260506_014837_129943.wav
4,2026-05-06T01:48:38.645,855296,trigger_0004_20260506_014838_706250.wav
5,2026-05-06T01:48:40.085,993536,trigger_0005_20260506_014840_147143.wav
6,2026-05-06T01:48:41.653,1144064,trigger_0006_20260506_014841_714997.wav
7,2026-05-06T01:48:43.182,1290752,trigger_0007_20260506_014843_243823.wav
8,2026-05-06T01:48:44.815,1447424,trigger_0008_20260506_014844_876905.wav
9,2026-05-06T01:48:46.291,1589248,trigger_0009_20260506_014846_351894.wav
10,2026-05-06T01:48:47.785,1732864,trigger_0010_20260506_014847_851753.wav
11,2026-05-06T01:48:49.275,1875968,trigger_0011_20260506_014849_342137.wav
12,2026-05-06T01:48:50.839,2025984,trigger_0012_20260506_014850_901067.wav
13,2026-05-06T01:48:52.485,2183936,trigger_0013_20260506_014852_547169.wav
14,2026-05-06T01:48:54.176,2346496,trigger_0014_20260506_014854_244999.wav
15,2026-05-06T01:48:55.823,2504448,trigger_0015_20260506_014855_884815.wav
16,2026-05-06T01:48:57.476,2663168,trigger_0016_20260506_014857_537320.wav
17,2026-05-06T01:48:59.219,2830592,trigger_0017_20260506_014859_285646.wav
18,2026-05-06T01:49:00.953,2996992,trigger_0018_20260506_014901_019533.wav
19,2026-05-06T01:49:02.616,3156736,trigger_0019_20260506_014902_680399.wav
20,2026-05-06T01:49:04.251,3313664,trigger_0020_20260506_014904_317362.wav
21,2026-05-06T01:49:05.912,3473152,trigger_0021_20260506_014905_978220.wav
22,2026-05-06T01:49:07.560,3631104,trigger_0022_20260506_014907_621020.wav
23,2026-05-06T01:49:09.203,3789056,trigger_0023_20260506_014909_266289.wav
24,2026-05-06T01:49:10.878,3949568,trigger_0024_20260506_014910_940228.wav
25,2026-05-06T01:49:12.496,4105216,trigger_0025_20260506_014912_561375.wav
26,2026-05-06T01:49:14.252,4273664,trigger_0026_20260506_014914_313425.wav
27,2026-05-06T01:49:15.968,4438528,trigger_0027_20260506_014916_034097.wav
28,2026-05-06T01:49:17.617,4596736,trigger_0028_20260506_014917_679127.wav
29,2026-05-06T01:49:19.329,4761088,trigger_0029_20260506_014919_391622.wav
30,2026-05-06T01:49:21.041,4925440,trigger_0030_20260506_014921_104538.wav
