trigger_no,timestamp_iso,trigger_sample_index,wav_file
1,2026-05-12T21:56:52.269,502528,trigger_0001_20260512_215652_672947.wav
2,2026-05-12T21:56:53.297,601344,trigger_0002_20260512_215653_701316.wav
3,2026-05-12T21:56:54.253,692992,trigger_0003_20260512_215654_654956.wav
4,2026-05-12T21:56:55.238,787456,trigger_0004_20260512_215655_639910.wav
5,2026-05-12T21:56:56.222,881920,trigger_0005_20260512_215656_621017.wav
6,2026-05-12T21:56:57.180,974080,trigger_0006_20260512_215657_584752.wav
7,2026-05-12T21:56:58.189,1070848,trigger_0007_20260512_215658_589347.wav
8,2026-05-12T21:56:59.193,1167360,trigger_0008_20260512_215659_594865.wav
9,2026-05-12T21:57:00.137,1257728,trigger_0009_20260512_215700_537668.wav
10,2026-05-12T21:57:01.140,1354240,trigger_0010_20260512_215701_541837.wav
11,2026-05-12T21:57:02.102,1446656,trigger_0011_20260512_215702_506456.wav
12,2026-05-12T21:57:03.092,1541632,trigger_0012_20260512_215703_493858.wav
13,2026-05-12T21:57:04.055,1634048,trigger_0013_20260512_215704_459236.wav
14,2026-05-12T21:57:05.015,1726208,trigger_0014_20260512_215705_420333.wav
15,2026-05-12T21:57:05.997,1820416,trigger_0015_20260512_215706_397368.wav
16,2026-05-12T21:57:07.017,1918464,trigger_0016_20260512_215707_424927.wav
17,2026-05-12T21:57:08.018,2014464,trigger_0017_20260512_215708_419959.wav
18,2026-05-12T21:57:09.042,2112768,trigger_0018_20260512_215709_446177.wav
19,2026-05-12T21:57:10.032,2207744,trigger_0019_20260512_215710_433087.wav
20,2026-05-12T21:57:11.009,2301440,trigger_0020_20260512_215711_411432.wav
21,2026-05-12T21:57:11.976,2394368,trigger_0021_20260512_215712_378357.wav
22,2026-05-12T21:57:12.965,2489344,trigger_0022_20260512_215713_368072.wav
23,2026-05-12T21:57:13.946,2583552,trigger_0023_20260512_215714_350187.wav
24,2026-05-12T21:57:14.914,2676480,trigger_0024_20260512_215715_316608.wav
25,2026-05-12T21:57:15.904,2771456,trigger_0025_20260512_215716_304946.wav
26,2026-05-12T21:57:16.887,2865920,trigger_0026_20260512_215717_292588.wav
27,2026-05-12T21:57:17.868,2960128,trigger_0027_20260512_215718_272627.wav
28,2026-05-12T21:57:18.840,3053312,trigger_0028_20260512_215719_239716.wav
29,2026-05-12T21:57:19.720,3137792,trigger_0029_20260512_215720_124030.wav
30,2026-05-12T21:57:20.774,3238912,trigger_0030_20260512_215721_176202.wav
